"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 13 22:11:52 UTC 2026","Sun Sep 13 22:11:52 UTC 2026","108","tests","test_auth","TestAuth","","","test_should_return_unauthorized_when_accessing_protected_endpoint",""
"passed","Sun Sep 13 22:11:52 UTC 2026","Sun Sep 13 22:11:53 UTC 2026","91","tests","test_transaction","TestTransaction","","","test_should_validate_mandatory_fields_for_transaction",""
"passed","Sun Sep 13 22:11:52 UTC 2026","Sun Sep 13 22:11:52 UTC 2026","224","tests","test_transaction","TestTransaction","","","test_should_create_income_transaction_successfully",""
"passed","Sun Sep 13 22:11:51 UTC 2026","Sun Sep 13 22:11:51 UTC 2026","118","tests","test_account","TestAccount","","","test_should_create_account_successfully",""
"passed","Sun Sep 13 22:11:53 UTC 2026","Sun Sep 13 22:11:53 UTC 2026","287","tests","test_transaction","TestTransaction","","","test_should_delete_transaction_successfully",""
"passed","Sun Sep 13 22:11:52 UTC 2026","Sun Sep 13 22:11:52 UTC 2026","217","tests","test_account","TestAccount","","","test_should_update_account_successfully",""
"passed","Sun Sep 13 22:11:51 UTC 2026","Sun Sep 13 22:11:52 UTC 2026","247","tests","test_account","TestAccount","","","test_should_not_create_account_with_duplicate_name",""
"passed","Sun Sep 13 22:11:52 UTC 2026","Sun Sep 13 22:11:52 UTC 2026","383","tests","test_account","TestAccount","","","test_should_not_delete_account_with_transactions",""
"passed","Sun Sep 13 22:11:53 UTC 2026","Sun Sep 13 22:11:53 UTC 2026","198","tests","test_transaction","TestTransaction","","","test_should_not_create_transaction_with_future_date",""
